ago
ape
are
ate
away
baby
back
bark
barn
base
bath
belong
belt
bench
best
better
blink
blow
boot
bring
brown
bunny
burn
burst
cage
camp
cane
care
cash
chip
clay
coat 
cook
dime
done
farm
fast
father
feel
filled
find
fine
fire
five
fresh
front
funny
fuzzy
give
grade 
grew
hands
holly
horse
house
hunger
jolly
just
king
lace
land
look
luck
lunch
lung
many
mice
mile
milk
mind
mine
moon
mother
mouse
mouth
muddy
mule 
nest
paid 
pine
pink
plane
plate
race
rally
rode
school
seed
sheep
shout
show
sister
sled
soon
start
swing
three
took
tool
tree
trot
truck
true 
vine
weep
went
were
west
when 
wife
wink
wipe
wish
word
yell
your
